ChildIndividualID,FatherIndividualID,MotherIndividualID,LeadingFather,LeadingMother,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,EvidenceTier,ParentCountMAPState,DesignGuaranteeApplied,ForcedCompletionApplied
fAulAsc32,fAulAsc157,fAulAsc154,fAulAsc157,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.7785,0.8005,0.90325,1.0,1.0,fAulAsc157+fAulAsc154:0.778;fAulAsc158+fAulAsc154:0.124;fAulAsc158+fAulAsc153:0.075,B_exact_pair,zero_parent,False,False
fAulAsc33,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.4115,0.4157499999999999,0.753,1.0,0.6363636363636364,fAulAsc157+fAulAsc154:0.411;fAulAsc158+fAulAsc154:0.342;fAulAsc158+fAulAsc153:0.242,B_one_parent_identity,zero_parent,False,False
fAulAsc34,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_A_exact_pair,1.0,1.0,1.0,1.0,1.0,fAulAsc151+fAulAsc153:1.000,A_exact_pair,two_parent,False,False
fAulAsc35,fAulAsc158,fAulAsc153,fAulAsc158,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.64025,0.815,0.66025,1.0,1.0,fAulAsc158+fAulAsc153:0.640;fAulAsc158+fAulAsc154:0.175;fAulAsc157+fAulAsc154:0.165,B_exact_pair,zero_parent,False,False
fAulAsc36,fAulAsc157,fAulAsc153,fAulAsc157,fAulAsc153,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.645,0.77425,0.7955,1.0,1.0,fAulAsc157+fAulAsc153:0.645;fAulAsc158+fAulAsc153:0.150;fAulAsc157+fAulAsc154:0.129;fAulAsc158+fAulAsc154:0.075,B_exact_pair,father_only,False,False
fAulAsc37,0,0,fAulAsc157,fAulAsc154,0,,,False,False,observed_parent_identities_unresolved,0.37875,0.62525,0.46175,1.0,0.7727272727272727,fAulAsc157+fAulAsc154:0.379;fAulAsc158+fAulAsc153:0.291;fAulAsc157+fAulAsc153:0.246;fAulAsc158+fAulAsc154:0.071,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc38,fAulAsc151,fAulAsc153,fAulAsc151,fAulAsc153,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.85325,0.989,0.8624999999999999,1.0,1.0,fAulAsc151+fAulAsc153:0.853;fAulAsc151+fAulAsc154:0.136,B_exact_pair,zero_parent,False,False
fAulAsc39,0,fAulAsc154,fAulAsc158,fAulAsc154,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,0.52725,0.5325,0.978,1.0,0.6363636363636364,fAulAsc158+fAulAsc154:0.527;fAulAsc157+fAulAsc154:0.451,A_one_parent_identity,zero_parent,False,False
fAulAsc40,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_B_additional_identity,False,False,one_supported_parent_identity,0.452,0.559,0.8402499999999999,0.1428571428571428,0.6363636363636364,fAulAsc157+fAulAsc154:0.452;fAulAsc158+fAulAsc154:0.388;fAulAsc157+fAulAsc153:0.107;fAulAsc158+fAulAsc153:0.047,B_one_parent_identity,zero_parent,False,False
fAulAsc41,fAulAsc158,0,fAulAsc158,fAulAsc153,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,0.478,0.96025,0.4937499999999999,1.0,0.6363636363636364,fAulAsc158+fAulAsc154:0.482;fAulAsc158+fAulAsc153:0.478,A_one_parent_identity,zero_parent,False,False
fAulAsc42,0,fAulAsc154,fAulAsc157,fAulAsc154,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,0.54325,0.55675,0.9855,1.0,0.6818181818181818,fAulAsc157+fAulAsc154:0.543;fAulAsc158+fAulAsc154:0.442,A_one_parent_identity,zero_parent,False,False
fAulAsc43,0,0,fAulAsc157,fAulAsc153,0,,,False,False,observed_parent_identities_unresolved,0.3575,0.52025,0.54975,1.0,0.7272727272727273,fAulAsc157+fAulAsc153:0.357;fAulAsc158+fAulAsc154:0.286;fAulAsc158+fAulAsc153:0.182;fAulAsc157+fAulAsc154:0.163,C_complete_working_hypothesis,zero_parent,False,False
fAulAsc44,fAulAsc158,fAulAsc154,fAulAsc158,fAulAsc154,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,0.83775,0.93225,0.905,1.0,1.0,fAulAsc158+fAulAsc154:0.838;fAulAsc158+fAulAsc153:0.095;fAulAsc157+fAulAsc154:0.067,B_exact_pair,zero_parent,False,False
