,block_idx,total_crossovers,unique_switch_types,dominant_switch,dominant_count,diversity_ratio
222,237,7,5,"(0, 0) -> (0, 1)",3,0.7142857142857143
278,294,7,6,"(1, 1) -> (0, 1)",2,0.8571428571428571
276,292,7,5,"(1, 1) -> (0, 1)",2,0.7142857142857143
193,207,7,7,"(0, 3) -> (1, 3)",1,1.0
176,190,7,7,"(1, 2) -> (1, 3)",1,1.0
282,298,7,7,"(0, 2) -> (0, 4)",1,1.0
241,257,7,7,"(1, 3) -> (3, 3)",1,1.0
228,244,7,7,"(0, 3) -> (0, 2)",1,1.0
254,270,7,7,"(0, 3) -> (0, 2)",1,1.0
253,269,6,5,"(1, 3) -> (0, 3)",2,0.8333333333333334
242,258,6,6,"(2, 3) -> (1, 2)",1,1.0
327,345,6,6,"(0, 0) -> (0, 1)",1,1.0
325,343,6,3,"(0, 0) -> (0, 1)",4,0.5
257,273,6,6,"(1, 3) -> (1, 4)",1,1.0
263,279,6,5,"(2, 4) -> (1, 2)",2,0.8333333333333334
182,196,6,6,"(1, 2) -> (1, 3)",1,1.0
190,204,6,5,"(1, 3) -> (3, 3)",2,0.8333333333333334
298,314,6,4,"(0, 0) -> (0, 3)",3,0.6666666666666666
290,306,6,4,"(3, 3) -> (2, 3)",3,0.6666666666666666
148,161,6,5,"(1, 1) -> (1, 3)",2,0.8333333333333334
284,300,6,5,"(1, 2) -> (1, 1)",2,0.8333333333333334
262,278,6,6,"(2, 2) -> (2, 3)",1,1.0
61,64,6,5,"(0, 3) -> (0, 1)",2,0.8333333333333334
2,3,6,6,"(0, 1) -> (1, 3)",1,1.0
42,43,6,4,"(1, 2) -> (2, 4)",2,0.6666666666666666
372,394,6,6,"(2, 3) -> (2, 4)",1,1.0
163,177,6,6,"(1, 3) -> (1, 4)",1,1.0
219,233,6,6,"(1, 2) -> (2, 3)",1,1.0
390,414,6,5,"(2, 3) -> (3, 3)",2,0.8333333333333334
243,259,6,6,"(0, 1) -> (0, 0)",1,1.0
232,248,6,6,"(2, 3) -> (3, 3)",1,1.0
104,115,6,4,"(1, 1) -> (1, 2)",3,0.6666666666666666
103,114,6,5,"(1, 2) -> (1, 1)",2,0.8333333333333334
212,226,6,5,"(0, 1) -> (0, 0)",2,0.8333333333333334
215,229,6,5,"(2, 4) -> (4, 4)",2,0.8333333333333334
389,413,5,3,"(1, 2) -> (0, 1)",2,0.6
