Sample_Index,Generation,Approx_Position,Sample_ID
75,F2,18453704.57080474,F2_65
75,F2,19653939.729881473,F2_65
75,F2,20734151.37305053,F2_65
75,F2,24034798.06051154,F2_65
76,F3,1155315.3406113537,F2_66
76,F3,3675809.174672489,F2_66
76,F3,4410953.2096069865,F2_66
76,F3,5161100.184029943,F2_66
76,F3,10637173.09731753,F2_66
76,F3,12197478.80411728,F2_66
76,F3,18723757.481597006,F2_66
76,F3,22354468.837804116,F2_66
77,F3,1155315.3406113537,F2_67
77,F3,4816032.575795383,F2_67
77,F3,8101676.323767935,F2_67
77,F3,8386732.174048658,F2_67
77,F3,15648154.886462882,F2_67
77,F3,21694339.500311915,F2_67
78,F3,6556373.556456643,F2_68
78,F3,7486555.80474111,F2_68
78,F3,10307108.428571427,F2_68
78,F3,12527543.47286338,F2_68
78,F3,16758372.408608858,F2_68
78,F3,17508519.383031815,F2_68
78,F3,17748566.41484716,F2_68
79,F3,5866238.339987523,F2_69
79,F3,8101676.323767935,F2_69
79,F3,8386732.174048658,F2_69
80,F2,9481946.756706176,F2_70
80,F2,10892223.068621334,F2_70
80,F2,11597361.224578913,F2_70
80,F2,11642370.043044291,F2_70
80,F2,11657372.98253275,F2_70
80,F2,12992634.597005613,F2_70
80,F2,13442722.781659387,F2_70
80,F2,22819559.96194635,F2_70
80,F2,23059606.993761696,F2_70
81,F3,8251705.718652526,F2_71
81,F3,9481946.756706176,F2_71
81,F3,10007049.638802245,F2_71
81,F3,10892223.068621334,F2_71
81,F3,11597361.224578913,F2_71
81,F3,11642370.043044291,F2_71
81,F3,11657372.98253275,F2_71
81,F3,12992634.597005613,F2_71
81,F3,13322699.265751716,F2_71
82,F3,105109.57641921396,F2_72
82,F3,1155315.3406113537,F2_72
82,F3,5161100.184029943,F2_72
82,F3,6766414.709295072,F2_72
82,F3,13952822.724266998,F2_72
82,F3,18723757.481597006,F2_72
82,F3,22009401.229569554,F2_72
83,F2,5221111.94198378,F2_73
83,F2,5341135.457891453,F2_73
83,F2,6031270.674360573,F2_73
83,F2,23854762.78665003,F2_73
84,F3,1155315.3406113537,F2_74
84,F3,2700618.107922645,F2_74
84,F3,8611776.266375545,F2_74
84,F3,21484298.347473487,F2_74
84,F3,22174433.563942607,F2_74
85,F2,8476749.810979413,F2_75
85,F2,9061864.45102932,F2_75
85,F2,10037055.517779164,F2_75
