ChildIndividualID,FatherIndividualID,MotherIndividualID,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,EvidenceStatus,EvidenceTier,ParentCountMAPState,ParentCountStable,ForcedCompletionApplied,ForcedCompletionCaveat
fTroAst13,fTroAst25,fTroAst12,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst14,fTroAst18,fTroAst12,2,Tier_B_additional_identity,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst15,fTroAst11,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst16,0,0,0,,,False,False,unresolved,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst17,0,fTroAst56,1,,Tier_A_strict_identity,False,False,one_supported_parent_identity,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst20,fTroAst18,fTroAst26,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst21,fTroAst11,0,1,Tier_A_strict_identity,,False,False,one_supported_parent_identity,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst22,fTroAst43,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst23,fTroAst18,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__B_both_parents_stable_pair_ambiguous,A_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst24,0,0,0,,,False,False,unresolved,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
