FID,IID,PAT,MAT,SEX,PHENOTYPE
AstCal_AulStu,fAulAsc238,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc164,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc175,fAulAsc122,0,1,-9
AstCal_AulStu,fAulAsc186,fAulAsc6,0,1,-9
AstCal_AulStu,fAulAsc197,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc208,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc219,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc229,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc239,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc165,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc176,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc187,fAulAsc71,0,1,-9
AstCal_AulStu,fAulAsc198,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc209,fAulAsc38,0,1,-9
AstCal_AulStu,fAulAsc220,fAulAsc81,0,1,-9
AstCal_AulStu,fAulAsc230,fAulAsc13,0,1,-9
AstCal_AulStu,fAulAsc240,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc166,fAulAsc97,0,1,-9
AstCal_AulStu,fAulAsc177,fAulAsc157,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc188,fAulAsc158,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc199,fAulAsc157,fAulAsc153,1,-9
AstCal_AulStu,fAulAsc210,fAulAsc158,fAulAsc154,1,-9
AstCal_AulStu,fAulAsc221,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc231,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc241,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc167,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc178,fAulAsc58,0,1,-9
AstCal_AulStu,fAulAsc189,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc200,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc211,fAulAsc17,0,1,-9
AstCal_AulStu,fAulAsc222,fAulAsc21,0,1,-9
AstCal_AulStu,fAulAsc232,fAulAsc10,0,1,-9
AstCal_AulStu,fAulAsc242,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc168,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc179,fAulAsc64,0,1,-9
AstCal_AulStu,fAulAsc190,fAulAsc128,0,1,-9
AstCal_AulStu,fAulAsc201,fAulAsc71,0,1,-9
AstCal_AulStu,fAulAsc212,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc223,fAulAsc85,0,1,-9
AstCal_AulStu,fAulAsc233,fAulAsc6,0,1,-9
AstCal_AulStu,fAulAsc243,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc169,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc180,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc191,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc202,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc213,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc224,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc234,fAulAsc11,0,1,-9
AstCal_AulStu,fAulAsc244,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc160,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc171,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc182,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc193,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc204,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc215,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc226,fAulAsc78,0,1,-9
AstCal_AulStu,fAulAsc236,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc161,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc172,fAulAsc11,0,1,-9
AstCal_AulStu,fAulAsc183,fAulAsc56,0,1,-9
AstCal_AulStu,fAulAsc194,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc205,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc216,fAulAsc82,0,1,-9
AstCal_AulStu,fAulAsc248,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc249,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc250,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc251,fAulAsc29,0,1,-9
AstCal_AulStu,fAulAsc245,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc246,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc247,fAulAsc81,0,1,-9
AstCal_AulStu,fAulAsc252,fAulAsc29,0,1,-9
AstCal_AulStu,fAulAsc262,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc265,fAulAsc10,0,1,-9
AstCal_AulStu,fAulAsc268,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc271,fAulAsc122,0,1,-9
AstCal_AulStu,fAulAsc254,fAulAsc96,0,1,-9
AstCal_AulStu,fAulAsc256,fAulAsc142,0,1,-9
AstCal_AulStu,fAulAsc258,fAulAsc9,0,1,-9
AstCal_AulStu,fAulAsc260,fAulAsc58,0,1,-9
AstCal_AulStu,fAulAsc263,fAulAsc58,0,1,-9
AstCal_AulStu,fAulAsc266,fAulAsc71,0,1,-9
AstCal_AulStu,fAulAsc269,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc272,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc253,fAulAsc10,0,1,-9
AstCal_AulStu,fAulAsc255,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc257,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc259,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc261,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc264,fAulAsc46,0,1,-9
AstCal_AulStu,fAulAsc267,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc270,fAulAsc91,0,1,-9
AstCal_AulStu,fAulAsc273,fAulAsc103,0,1,-9
AstCal_AulStu,fAulAsc275,fAulAsc52,0,1,-9
AstCal_AulStu,fAulAsc277,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc279,fAulAsc177,0,1,-9
AstCal_AulStu,fAulAsc281,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc283,fAulAsc127,0,1,-9
AstCal_AulStu,fAulAsc285,fAulAsc26,0,1,-9
AstCal_AulStu,fAulAsc287,fAulAsc177,0,1,-9
AstCal_AulStu,fAulAsc274,fAulAsc106,0,1,-9
AstCal_AulStu,fAulAsc276,fAulAsc60,0,1,-9
AstCal_AulStu,fAulAsc278,fAulAsc10,0,1,-9
AstCal_AulStu,fAulAsc280,fAulAsc79,0,1,-9
AstCal_AulStu,fAulAsc282,fAulAsc122,0,1,-9
AstCal_AulStu,fAulAsc284,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc286,fAulAsc102,0,1,-9
AstCal_AulStu,fAulAsc288,fAulAsc52,0,1,-9
